Day Number,Calanoid.copepods,Rotifers,Protozoa,Bacteria,Nanophytoplankton,Picophytoplankton,Filamentous.diatoms,Ostracods,Cyclopoids,Harpacticoids,Total.dissolved.inorganic.nitrogen,Soluble.reactive.phosphorus
335,0.67516,0.001023,0.08625,1.012,0.088093,0.044541,0,0,0,0,3.5498,14.414
338.35,0.81358,0.00033236,0.042929,1.017,0.033167,0.18978,0,0,0,0,3.3699,14.262
341.7,0.57618,3.09E-05,0.093695,1.0186,0.018902,1.4982,0,0,0,0,3.2695,13.882
345.05,0.22892,0,0.22601,1.7197,0.0055063,2.7291,0,0,0,0,3.2707,13.23
348.4,0.48835,0,0.35692,1.7535,0.024687,1.0145,0,0,0,0,3.3375,11.949
351.75,0.46258,0,0.78692,1.3235,0.0242,0.31293,0,0,0,0,3.4724,10.516
355.1,0.36814,0,0.51559,1.0311,0.0074141,0.23495,0,0,0,0,3.6835,9.4891
358.45,0.36045,0,0.54517,0.75403,0.0027519,0.0093387,0,0,0.00052611,0,4.9625,9.7549
361.8,0.3633,0,0.98718,0.75244,0.0010712,0.014934,0,0,0.0081872,0,11.065,12.44
365.15,0.38365,0,0.58697,0.89788,0.02537,0.20018,0,0,0.010331,0,12.979,13.234
368.5,0.29906,0,0.051013,0.8931,0.10734,0.55905,0,0,0,0,10.594,11.771
371.85,0.2458,0.00029808,0.13032,0.87955,0.12346,0.40571,0,0,0,0,8.3761,11.105
375.2,0.19192,0.0026385,0.013491,0.79997,0.14464,0.28999,0,0,0.0027942,0,6.637,11.208
378.55,0.42142,0.0046611,0.016,0.7612,0.40806,0.99022,0,0,0.012161,0,5.0259,11.379
381.9,1.5518,0.0097301,0.015373,0.78339,0.93346,1.1247,0,0,0.0073491,0,3.8592,11.537
385.25,2.1501,0.012823,0.0092707,0.79757,0.3317,1.9714,0,0,0.030026,0,3.4506,11.576
388.6,4.4571,0.010402,0.0064783,0.80273,0.063659,1.7845,0,0,0.03006,0,3.55,8.2555
391.95,3.0375,0.01033,0.0079872,0.80687,0.097924,2.1757,0,0,0.0084652,0,3.7566,5.0063
395.3,3.5396,0.010152,0.0084899,1.6729,0.1071,3.9842,0,0,0.004347,0,4.1068,4.7178
398.65,0.59992,0.0064185,0.0048811,2.3852,0.11342,3.9585,0,0,6.89E-05,0,4.7362,4.6011
402,0.45156,0.03333,0.0064,1.509,0.24693,0.062255,0,0,0,0,6.807,13.338
405.35,0.75515,0.10254,0.40649,0.66208,0.48009,1.4269,0,0,0,0,9.1656,26.261
408.7,1.307,0.82956,0.025424,0.87594,0.49799,0.32193,0,0.00099436,0,0,7.5982,19.747
412.05,2.7664,1.8783,0.0074361,1.1588,0.31173,0.46561,0,0.0001457,0.0031129,0,4.21,6.2836
415.4,2.0829,0.68488,0.0036593,1.0916,0.13272,0.2911,0,0,0.015172,0,3.2314,4.424
418.75,0.81064,0.82679,0.0017883,0.99003,0.19583,0.39892,0,0,0.0068763,0,2.7801,4.0049
422.1,0.13552,0.99136,0.00063392,0.94446,0.21086,0.36392,0,0,0,0,2.5091,3.97
425.45,0.027261,0.54691,0.47177,0.89295,0.34926,0.027156,0,0,0,0,2.3253,3.97
428.8,0.022274,0.23213,1.506,0.70729,1.7982,0.01018,0,0.0012351,0,0,3.0791,3.6709
432.15,0.020346,0.99778,1.4357,0.71363,2.4618,0.012866,0,0.0057815,0.0001828,0,6.2218,2.4642
435.5,0.027049,6.989,2.4309,1.5916,0.19342,0.051123,0,0.00032218,0.00084445,0,6.55,2.3318
438.85,0.033907,33.419,1.6982,2.0751,0.89784,0.092092,0,0,8.82E-06,0,3.824,3.3434
442.2,0.040577,37.896,2.2496,2.0425,0.063199,0.1268,0,0,0.00065858,0,3.5209,3.5947
445.55,0.10507,3.5413,0.09757,1.2256,0.00073908,0.15052,0,0.00020007,0.060089,0,8.6935,2.8137
448.9,0.080223,2.2896,1.7606,1.4968,0.0054177,0.019957,0,0.0070623,0.11903,0,10.718,2.4954
452.25,0.11572,0.61696,3.7171,2.1723,0.0048377,0.020875,0,0.021767,0.18279,0,7.3101,2.8386
455.6,0.12233,0.13265,5.3267,1.0031,0.12023,0.1211,0,0.0011616,0.57773,0,5.5172,2.9909
458.95,0.5489,0.033261,3.3939,1.7703,0.24401,0.079432,0,1.47E-07,1.7067,0,8.4848,1.9097
462.3,0.62405,0.009141,2.6997,1.5178,1.6611,0.046789,0,0.00059817,0.80815,0,10.569,1.1523
465.65,1.6379,0.0095194,1.3725,0.18456,2.8979,0.0010751,0,0.00036045,0.6861,0,10.458,1.3788
469,2.3588,0.010558,0.46158,1.8398,3.9866,0,0,7.47E-05,0.66581,0,10.36,1.58
472.35,3.816,0.011968,0.062204,2.611,3.0586,0,0,0,0.60418,0,10.772,0.95305
475.7,4.1863,0.011062,0.0042067,2.3061,0.24518,0,0,0,0.22519,0,11.235,0.24717
479.05,4.0142,0.0076125,0.0037615,2.1704,0.023154,0,0,0,0.16086,0,9.7956,0.52287
482.4,4.3821,0.0084763,0.0028817,2.0863,0.086552,0,0,0,0.3316,0,7.1546,0.92545
485.75,3.2666,0.025139,0.0032805,2.169,0.18124,0,0,0,0.32216,0,5.6227,0.90241
489.1,1.653,0.011994,0.03165,1.8388,0.017417,0,0,0,0.20593,0,4.5541,0.83499
492.45,1.2471,0.0039287,0.27122,1.3503,0.2101,0.077436,0,0,0.10712,0,4.2861,0.93048
495.8,1.1444,0.0025117,0.39335,1.3462,0.28259,0.22641,0,0,0.12244,0,4.1592,1.2363
499.15,1.2471,0.011682,0.36347,1.9405,0.49688,0.21696,0,0,0.16973,0,3.6611,1.5506
502.5,1.2733,0.035995,0.1589,2.2773,0.49646,0.076959,0,0,0.16382,0,2.7455,1.8711
505.85,0.91345,0.039744,0.12504,2.3915,0.49761,0.073532,0,0,0.17024,0,2.7023,1.7635
509.2,1.8437,0.019714,0.090698,2.9619,0.50304,0.19814,0,0,0.17629,0,3.2843,1.1253
512.55,3.1671,0.008184,0.061878,1.5631,0.47062,0.015491,0,0,0.18864,0,4.072,0.84267
515.9,2.6144,0.0099517,0.021499,1.5466,0.30246,0.01234,0,0,0.052552,0,5.2279,0.74529
519.25,2.8845,0.01447,0,1.1274,0.4551,0.0022918,0,0,0.19798,0,5.8814,0.67259
522.6,2.6119,0.008184,0,0.9825,0.21698,0.0041797,0,0,0.078629,0,6.2395,0.60285
525.95,2.5142,0.0078926,0,0.81823,0.14164,0.0060655,0,0,0.031575,0,6.39,0.57001
529.3,1.7386,0.0061953,0,0.7532,0.24771,0.0074552,0,0,0.070518,0,6.239,0.6003
532.65,0.90902,0.0079089,0,0.70916,0.24352,0.00022893,0,0,0.0077749,0,5.9037,0.67406
536,0.75581,0.00429,0,0.856,0.19628,0.00011205,0,0,0.006072,0,5.5771,0.76233
539.35,0.86356,0.0053266,0,0.72589,0.76291,0.0015617,0,0,0.0085623,0,5.4516,0.83666
542.7,1.0749,0.0023567,0,0.8,1.0561,0.0040701,0,0,0.012194,0,5.5694,0.9102
546.05,1.3983,0.011549,0,0.88744,1.3202,0.017406,0,0,0.050688,0,5.6699,0.94988
549.4,1.1278,0.017291,0,1.3394,3.7296,0.013037,0,0,0.087823,0,5.2776,0.55757
552.75,2.6523,0.045741,0,2.2947,1.3442,0.024835,0,0,0.32544,0,4.8531,0.13306
556.1,3.9847,0.052455,0.0010462,1.9327,0.51289,0.034939,0,0,0.33535,0.028694,6.6289,0.29705
559.45,5.8336,0.049532,0.0032182,1.1682,0.10955,0.062498,0,0,0.19404,0.11903,9.0647,0.66956
562.8,5.033,0.075308,3.99E-05,0.97919,0.069425,0.24254,0,0,0.25691,0.22405,8.4975,1.1421
566.15,0.95031,0.037448,0,7.73E-01,0.054569,0.14343,0,0,0.043795,0.40052,6.5675,1.8163
569.5,0.8738,0.01343,0.011792,0.54048,1.0606,0.052182,0,0,0.091796,0.23801,4.2593,2.4934
572.85,0.79632,0.004258,0.15515,0.80524,2.0136,0.014238,0,0,0.33566,0.19207,2.5113,2.9678
576.2,0.75924,0.0062411,0.14458,0.74066,4.0483,0.011741,0,0,0.23544,0.17382,2.4448,2.886
579.55,2.1915,0.020348,0.043323,0.66997,7.1293,0.0060156,0,0,0.42743,0.14384,5.1079,1.3671
582.9,6.3191,0.02747,0.012062,1.0746,2.4513,0.001953,0,0,0.3063,0.20849,6.1929,0.65354
586.25,9.7699,0.028791,0,0.51394,0.20888,0.0029253,0,0,0,0.31173,4.8545,0.61539
589.6,9.661,0.015781,0,0.65894,0.047599,0.0073514,0,0,0,0.35893,3.3724,0.59212
