Appendix S1 Time series of the long-term experiment,,,,,,,,
Worksheet 2 Original time series of the nutrient concentrations measured in the experiment,,,,,,,,
,,,,,,,,
Note for those who wish to make use of these freely available data in their publications or presentations: ,,,,,,,,
please cite the Ecology Letters publication of Beninca et al. as source of the data,,,,,,,,
,,,,,,,,
,,,,,,,,
Date,Day number,NO2,NO3,NH4,Total dissolved inorganic nitrogen,Soluble reactive phosphorus,,
18/09/90,69,25.27,0,3.05,28.32,11.4,,All nutrient concentrations are in micromol/L
24/09/90,75,17.59,0,3.25,20.84,27.6,,
01/10/90,82,5.36,4.44,1.35,11.15,28,,N.B.
09/10/90,90,5.23,6.02,4.25,15.5,46.5,,The analysis in Benincˆ et al. (Nature 2008) included all nutrient data from 16/06/1991 until 20/10/1997
15/10/90,96,5,0.42,0.5,5.92,22,,
22/10/90,103,1.98,2.94,4.65,9.57,36,,Empty spaces are missing data
29/10/90,110,5.3,1.22,4.15,10.67,27,,Zero values are nutrient concentrations under the detection limit.
05/11/90,117,10.27,1.64,3.15,15.06,22.5,,
12/11/90,124,4.93,3.35,5.1,13.38,24,,
19/11/90,131,11.43,3.27,4.65,19.35,25,,
26/11/90,138,18.73,0,2.6,21.33,4.5,,
03/12/90,145,5.25,0.89,4.9,11.04,17.6,,
10/12/90,152,4.45,3.65,9.1,17.2,17.2,,
17/12/90,159,3.32,7.56,3.1,13.98,26,,
24/12/90,166,7,13,3.5,23.5,26.3,,
31/12/90,173,11,15,4,30,26.5,,
07/01/91,180,15.39,19.77,4.85,40.01,26.8,,
14/01/91,187,15.09,24.34,3.65,43.08,27,,
21/01/91,194,6.2,8.01,4.3,18.51,29.5,,
28/01/91,201,6.34,10.03,4.05,20.42,22,,
04/02/91,208,12.52,3.25,10.3,26.07,30,,
11/02/91,215,15,0.15,3,18.15,32,,
18/02/91,222,4.73,2.35,5,12.08,23,,
25/02/91,229,14.39,0.62,1.6,16.61,23,,
04/03/91,236,2.39,4.49,4.9,11.78,34,,
11/03/91,243,2.32,2.5,2.6,7.42,26,,
