prediction_time,cyclo-nonlinear,cyclo-linear,roti-nonlinear,roti-linear,cala-nonlinear,cala-linear,pico-nonlinear,pico-linear,nano-nonlinear,nano-linear,dia-nonlinear,dia-linear,P-nonlinear,P-linear,N-nonlinear,N-linear,bact-nonlinear,bact-linear,ostra-nonlinear,ostra-linear,harpa-nonlinear,harpa-linear,proto-nonlinear,proto-linear
3.35,0.7094096,0.665307,0.8828593,0.857111,0.9403712,0.9298737,0.815972,0.77554,0.6636583,0.6201912,0.8555033,0.8035462,0.8339598,0.8069744,0.738143,0.711678,0.685852,0.6120519,0.7574647,0.6496033,0.772465,0.681532,0.5677636,0.5282566
6.7,0.5720627,0.4935941,0.7463524,0.658883,0.8836839,0.8491932,0.6601273,0.5487456,0.4432416,0.3246073,0.737165,0.6095951,0.6315457,0.5302183,0.4104393,0.3061664,0.5326795,0.3819948,0.6598851,0.4973718,0.6995597,0.5207757,0.294668,0.185608
10.05,0.4902401,0.4011857,0.6254259,0.4829209,0.8502552,0.7763356,0.5637701,0.3953487,0.3307205,0.1925623,0.6678248,0.4807343,0.5003403,0.3638333,0.3071538,0.1011585,0.4778448,0.2954696,0.6288583,0.450778,0.6739653,0.4651081,0.2310822,0.08211805
13.4,0.4164672,0.3016044,0.5046182,0.3517815,0.8042475,0.708233,0.4558134,0.265001,0.3123337,0.1138278,0.616731,0.4015493,0.4326441,0.2790931,0.2426636,0.02868926,0.4886743,0.2430147,0.6360897,0.4323917,0.6545528,0.4325186,0.1785825,0.06158384
16.75,0.3504856,0.2383598,0.4464669,0.2635441,0.760457,0.6547362,0.3805665,0.1728722,0.241248,0.07044298,0.559522,0.3518652,0.3739785,0.2097882,0.2588338,0.009223085,0.4544766,0.2195667,0.6085336,0.4073519,0.6478141,0.3740388,0.2074664,0.07457101
20.1,0.3193952,0.1985717,0.4212408,0.2138345,0.7309632,0.6138486,0.3699577,0.1299657,0.2062899,0.05014188,0.5422087,0.3199658,0.3330847,0.1459767,0.3000848,0.007044476,0.4270118,0.186316,0.6204758,0.3915943,0.6173664,0.3285721,0.1840828,0.06967134
23.45,0.2803267,0.160657,0.3936439,0.1830983,0.71631,0.5807416,0.3556772,0.125325,0.2119462,0.04916231,0.5275844,0.3042153,0.2973133,0.09123004,0.2988287,0.008356086,0.431105,0.1600274,0.6358686,0.3768395,0.6036852,0.2851389,0.1636979,0.05572705
26.8,0.2353056,0.1390264,0.3715537,0.1600622,0.7090331,0.5567461,0.3599495,0.1237901,0.2741957,0.06971159,0.5168755,0.2805466,0.2348714,0.05420553,0.2832301,0.01384917,0.4027356,0.1468363,0.6375162,0.3448237,0.5939777,0.2410874,0.133858,0.04024996
30.15,0.2395811,0.1285152,0.3668008,0.1424302,0.7036143,0.5386995,0.3738843,0.1146293,0.3211274,0.09311672,0.4664239,0.2636589,0.2302896,0.03270314,0.3567494,0.02742746,0.3867194,0.1212481,0.605484,0.3080612,0.5569127,0.213465,0.1583412,0.03122686
33.5,0.2586385,0.1323455,0.3490781,0.1184203,0.6876862,0.5258032,0.376375,0.1047174,0.3107889,0.1002317,0.5037546,0.2508969,0.2584716,0.01963533,0.3276018,0.05283914,0.4165337,0.1012448,0.5830742,0.2820692,0.5676643,0.1918338,0.1256639,0.0433298
36.85,0.2244215,0.1226031,0.3295866,0.09532695,0.6890077,0.5133369,0.3551371,0.09404718,0.3015053,0.1054057,0.505764,0.2399152,0.2474304,0.01388473,0.2967557,0.0807641,0.398915,0.09578805,0.5860978,0.2678422,0.5503389,0.1627011,0.1684262,0.05913921
40.2,0.2214167,0.1237876,0.3295866,0.07394492,0.6956762,0.502032,0.3627453,0.07489883,0.2915049,0.1132539,0.5088741,0.2305685,0.2849564,0.02352413,0.3642603,0.09681839,0.3995675,0.09676956,0.5688629,0.2487077,0.5499694,0.151838,0.1641819,0.07128575
