Appendix S1 Time series of the long-term experiment,,,,,,,,,,,,,
Worksheet 1 Original time series of all species abundances measured in the experiment,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note for those who wish to make use of these freely available data in their publications or presentations: ,,,,,,,,,,,,,
please cite the Ecology Letters publication of Beninca et al. as source of the data,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Day number,Cyclopoids,Calanoid copepods,Rotifers,Protozoa,Nanophytoplankton,Picophytoplankton,Filamentous diatoms,Ostracods,Harpacticoids ,Bacteria,,
12/07/90,1,0,1.038859,7.69947,,0.105950952,1.002288817,0,0,0,2.145,,All species abundances are in mg fwt/L  [fwt = freshweight]
17/07/90,6,0,2.02605,10.190955,,0.211901904,2.004577634,0,0,0,1.9665,,
18/07/90,7,0.035280001,1.724442,8.0817,,0.211901904,1.51916468,0,0,0,1.788,,N.B.
19/07/90,8,0,2.414498,6.06344475,,0.211901904,1.51916468,0,0.018720001,0,1.61,,The analysis in Benincˆ et al. (Nature 2008) covered all data from 16/06/1991 until 20/10/1997
20/07/90,9,0.035280001,1.710092,5.937356238,,0.211901904,1.976470828,0,0,0,1.432,,"The analysis in the Ecology Letters paper covers only the picophytoplankton, nanophytoplankton, calanoids copepods and rotifers, but over a longer time span from 12/07/1990 until 20/10/1997"
23/07/90,12,0.017640001,0.308356,2.06646,,0.156803099,1.976470828,0,0,0,1.251,,
24/07/90,13,0,0.26383925,1.80048,,0.156803099,0.985863804,0,0.004680001,0,1.07,,Empty spaces are missing data
26/07/90,15,0.004268001,0.2150762,1.05369,,0.156803099,0.985863804,0,0.003744001,0,0.8945,,Zero values are species abundances under the detection limit.
27/07/90,16,0.014406001,0.200333,0.42966,,0.102539058,0.062985264,0,0.002964001,0,0.719,,
30/07/90,19,0.012680001,0.2271611,0.126108,,0.499974055,0.031492632,0,0.000790501,0,0.681,,
31/07/90,20,0.003740001,0.1462704,0.059334,,0.98828125,0.029386001,0,0.003744001,0,0.643,,
01/08/90,21,0.011280001,0.1614937,0.096444096,,1.012237352,0.03119325,0,0.001246201,0,0.6055,,
02/08/90,22,0.009240001,0.15752,0.009372,,1.976509266,0.031127484,0,0.028606501,0,0.568,,
06/08/90,26,0.008280001,0.1339834,0.0157311,,7.881101778,0.0310049,0,0.006397201,0,0.628,,
07/08/90,27,0,0.0864063,0.02456052,,7.937254422,0.02099,0,0.009370501,0,0.6735,,
08/08/90,28,0.009740001,0.0709314,0.02210274,,15.85619926,0.018891329,0,0.009283501,0,0.719,,
10/08/90,30,0.064680001,0.04416,0.11149308,,9.592038147,0.016845406,0,0.026520001,0,0.994,,
13/08/90,33,0.018750001,0.1475312,9.690912,,15.87499713,0.014693,0,0.024939001,0,0.716,,
15/08/90,35,0,0.1616292,21.810855,,0.695307758,0.015563742,0,0,0,1.193,,
17/08/90,37,0.013056001,0.1682103,15.7642188,,0.494773,0.010495,0,0.003967201,0,1.159,,
20/08/90,40,0.017040001,0.306168,6.611067,,0.0616,0.02099,0,0.000372001,0,1.021,,
22/08/90,42,0,0.112491,0.7394112,,0.246400014,0.031492632,0,0.000372001,0,0.632,,
24/08/90,44,0.003050001,0.170943425,0.075825258,,0.354514994,0.052482632,0,0.002574151,0,0.6475,,
28/08/90,48,0,0.296237,0.00186,,0.492561251,0.031492632,0,0.003306001,0,1.228,,
30/08/90,50,0.027500001,0.8571826,0.0062865,,0.173312,0.031004239,0,0.008802001,0,1.877,,
31/08/90,51,0,0.581966,0.005115,,0.494140535,0.028563021,0,0,0,2.011,,
03/09/90,54,0.004840001,0.62669705,0.00508275,,0.94336003,0.031004019,0,0,0,2.145,,
06/09/90,57,0.004840001,1.325643,0.00959904,,1.99206836,0.025487857,0,0.016137001,0,1.855,,
07/09/90,58,0,1.229103,0.00950103,,3.031127231,0.030824658,0,0,0,1.275,,
10/09/90,61,0,3.553134,0.13556796,,7.950544002,0.022489287,0,0.018720001,0,0.986,,
12/09/90,63,0.129360001,4.169484,0.519210384,,5.12,0.02099,0,0.068640001,0,0.964,,
14/09/90,65,0,9.6096725,1.674519,,3.939147073,0.04198,0,0,0,0.942,,
17/09/90,68,0,13.966502,1.28258625,,0.015624282,0.049559589,0,0,0,1.591,,
20/09/90,71,0,5.9588892,1.10772684,,0.000243187,0.05734468,0,0,0,2.309,,
21/09/90,72,0,4.5378476,0.9726024,,0.024736402,0.285140991,0,0,0,2.093,,
24/09/90,75,0,1.4316511,0.64548792,,0.049557686,0.247068887,0,0,0,1.877,,
25/09/90,76,0.021415901,0.9476687,0.321369048,,0.045312,0.04198,0,0,0,1.704,,
28/09/90,79,0.005915051,0.173294,0.37996992,,0.075194076,0.247066462,0,0,0,1.531,,
02/10/90,83,0.034426481,0.0606791,0.28134216,,0.031249041,0.246280014,0,0.001283401,0,0.909,,
05/10/90,86,0.210417361,0.0095666,0.3432888,,0.330880016,0.247066462,0,0.004107601,0,0.679,,
09/10/90,90,0.085906681,0.0294801,0.438250215,,1.976450443,0.188911438,0,0,0,0.45,,
12/10/90,93,0.586640341,0.0353815,0.42687612,,0.49874869,0.498022598,0,0.032274001,0,0.991,,
15/10/90,96,0.403621461,0.1935098,0.19690098,,5.37481451,0.110350095,0,0.012176101,0,0.959,,
17/10/90,98,0.414588341,0.1710611,0.11561049,,7.962400433,0.246223396,0,0.009825001,0,1.0285,,
18/10/90,99,0.243142681,0.150484,0.03432,,9.574461929,0.273422181,0,0,0,1.098,,
22/10/90,103,0.080848241,0.59697,0.020856,,11.01600075,0.492332398,0,0,0,1.133,,
25/10/90,106,0.014781561,0.8844745,0.062899782,,12.528,0.661185026,0,0.014670001,0,0.995,,
30/10/90,111,0.000406781,1.7557892,0.04956402,,7.093627449,0.661185026,0,0,0,1.15,,
31/10/90,112,0.010556041,2.1589205,0.010626,,7.999978542,1.632704922,0,0,0,2.145,,
03/11/90,115,0.008360001,3.336317,0.0186,,6.88,3.977782963,0,0,0,3.14,,
06/11/90,118,0.112464001,5.115626,0.04092,,6.812436102,0.945297241,0,0,0,1.574,,
09/11/90,121,0.136972001,5.299596,0.02697,,2.687407255,0.67168,0,0.002046001,0,1.479,,
13/11/90,125,0.237248001,7.93716,0.002046,,0.124511703,0.015516994,0,0.064548001,0,1.462,,
16/11/90,128,0.458744001,11.82111,0.002046,,0.0016,0.49701145,0,0,0,1.445,,
21/11/90,133,0.140040001,1.310298,0.003069,,0.061767574,0.102537945,0,0.010269001,0,1.462,,
23/11/90,135,0.091140001,0.792572,0.004092,,0.176,1.379411859,0,0.004092001,0,1.1895,,
28/11/90,140,0.078755001,0.399366,0.002046,,0.4576,0.566890578,0,0,0,0.917,,
30/11/90,142,0.054868001,0.38862,0,,0.07776,2.017153686,0,0.000446401,0,0.8505,,
04/12/90,146,0.180838001,0.355445,0,,0.39552,1.639231426,0,0.000892801,0,0.784,,
07/12/90,149,0.076028001,0.348673,0,,0.18304,0.502095297,0,0,0,0.6435,,
11/12/90,153,0.102686001,0.14019,0,,0.096,3.365887402,0,0.004847401,0,0.503,,
14/12/90,156,0.004474001,0.13345,0.0006696,,0.089088,4.557627642,0,0,0,0.563,,
18/12/90,160,0.037796001,0.133896,0.00279,,0.035824,2.416375777,0,0.000446401,0,0.623,,
21/12/90,163,0.034056001,0.115554,0.02046,,0.08208,2.42110022,0,0.000223201,0,0.59,,
27/12/90,169,0.021758001,0.25894,0.301878,,0,3.783963393,0,0.000223201,0,0.469,,
29/12/90,171,0.021758001,0.25894,0.301878,,0,5.665298115,0,0.000223201,0,0.5115,,
03/01/91,176,0.053460001,0.435324,0.5115,,0,3.170498683,0,0.000223201,0,0.554,,
08/01/91,181,0.035948001,0.3252819,0.132645,,0.0018,7.84851586,0,0.004092001,0,0.5605,,
11/01/91,184,0.057728001,0.2717355,0.111024,,0.16192,7.103860672,0,0,0,0.567,,
15/01/91,188,0.015532001,0.587225,0.151008,,0.030176,1.583233671,0,0.014376601,0,0.5515,,
18/01/91,191,0.015378001,0.6928423,0.201936,,0.3132,3.954018838,0,0.074043001,0,0.536,,
22/01/91,195,0.003784001,0.655158,0.308121,,0.399584,5.300364687,0,0,0,0.491,,
25/01/91,198,0.001892001,0.468376,0.50982,,0.10512,3.25553237,0,0.007943701,0,0.446,,
30/01/91,203,0,0.3624986,0.248622,,0.09644,0.797686443,0,0.029508601,0,0.402,,
01/02/91,205,0,0.438987,0.241929,,0.08776,0.065407279,0,0.007488001,0,0.358,,
05/02/91,209,0,0.3259822,0.235752,,0.07908,12.12422311,0,0.029052901,0,0.445,,
08/02/91,212,0,0.3080792,0.364518,,0.0704,5.842451892,0,0.014083201,0,0.4185,,
12/02/91,216,0.000946001,0.2700364,0.270732,0.00259,0.034972337,6.08590361,0,0.014083201,0,0.392,,
15/02/91,219,0.007414001,0.1009825,0.4257,0.002,0.05464085,0.233431946,0,0.000911401,0,0.4055,,
19/02/91,223,0.006468001,0.1690699,0.33198,0.562,0.039911117,0.022675545,0,0.000455701,0,0.419,,
22/02/91,226,0.003234001,0.4436483,0.209484,1.122,0.00987756,0.442162256,0,0,0,0.632,,
26/02/91,230,0.005126001,0.5273159,0.14421,1.0093,0.161994065,0.221081128,0,0.035941501,0,0.65,,
01/03/91,233,0.002838001,0.8229156,0.158532,0.51115,0.0963318,0.182822663,0,0.007188301,0,0.66,,
05/03/91,237,0.012144001,0.4132336,0.06996,0.013,0.001216,7.376579809,0,0,0,0.707,,
08/03/91,240,0.001892001,0.2887256,0.039666,0.288,0.024576,1.303831318,0,0,0,0.737,,
12/03/91,244,0.003102001,0.5395593,0.030888,0.016,0.012624,0.00283477,0,0,0,0.767,,
15/03/91,247,0,0.4220978,0.041118,0.032,0.000672,0.024509113,0,0.014376601,0,0.809,,
19/03/91,251,0.002156001,0.5578964,0.029436,0.048,0.045795379,2.766396148,0,0,0,0.851,,
21/03/91,253,0.000946001,0.676785,0.130416,0.3175,0.019072,1.443358111,0,0,0,0.769,,
25/03/91,257,0.019800001,0.5712669,0.245091,0.0845,0.003616,0.581466698,0,0.007188301,0,0.687,,
28/03/91,260,0.013915001,0.4842691,0.1963995,0.07425,0.204208,0.044405892,0,0.003594151,0,0.793,,
01/04/91,264,0.008030001,0.3972713,0.147708,0.064,0.4048,0.066148948,0,0,0,0.899,,
05/04/91,268,0.004840001,0.4275444,0.087351,0.055,0.017842462,0.010122759,0,0.003667501,0,1.007,,
08/04/91,271,0.000946001,0.2682603,0.104016,0.007,0.181024,0.082451476,0,0.008948701,0,1.115,,
12/04/91,275,0,0.3252123,0.136059,0.022,0.014624,0.248453047,0,0.014376601,0,1.258,,
15/04/91,278,0.001892001,0.4573434,0.059334,0.1109,0.11264,0.101141039,0,0.000455701,0,1.401,,
18/04/91,281,0.000473001,0.9346557,0.026598,0.3666,0.14374536,0.185611051,0,0,0,1.349,,
23/04/91,286,0.003982001,0.6271592,0.008283,0.013,0.080448,0.146159028,0,0.062787601,0,1.297,,
25/04/91,288,0.002365001,0.5804379,0.004092,0.27,0.005408,0.231750143,0,0.000455701,0,1.0605,,
29/04/91,292,0.009680001,0.6507317,0.004092,0.0135,0.0048,0.558816287,0,0,0,0.824,,
03/05/91,296,0,0.581399,0.006138,0.0535,0.1575394,1.615617498,0,0.000744001,0,0.837,,
06/05/91,299,0,0.5906226,0.0041664,0.0065,0.016256,2.650190041,0,0.001023001,0,0.85,,
10/05/91,303,0,0.2224235,0.0021948,0.025,0.029584,0.503116244,0,0,0,0.817,,
13/05/91,306,0,0.216645,0.0002232,0.6871,0.042912,0.318876589,0,0.000223201,0,0.784,,
16/05/91,309,0.003300001,0.4552131,0.0008308,0.1253,0.002048,0.260770079,0,0.000223201,0,0.7295,,
21/05/91,314,0.289520001,0.6153196,0.0014384,0.8325,0.01336,0.152352416,0,0,0,0.675,,
23/05/91,316,0.121220001,0.5745167,0.002046,0.434,0.024672,0.205498339,0,0,0,0.62,,
27/05/91,320,0.148720001,0.5720098,0.006138,0.023,0.031776,0.302341824,0,0,0,0.565,,
30/05/91,323,0.042020001,0.7036779,0.001023,0.0315,0.002776899,0.453513522,0,0,0,0.6785,,
03/06/91,327,0.037180001,0.6576524,0.0015345,0.04,0.08272,0.44642712,0,0,0,0.792,,
06/06/91,330,0,0.5523473,0.002046,0.034,0.08208,0.510202647,0,0,0,1.023,,
10/06/91,334,0,0.6826245,0.00127875,0.0845,0.048709797,2.239222524,0,0,0,1.254,,
12/06/91,336,0,0.67889415,0.0005115,0.135,0.0648,0.765303185,0,0,0,1.133,,
16/06/91,340,0,0.6751638,0.001023,0.08625,0.088093017,0.044541081,0,0,0,1.012,,
18/06/91,342,0,0.843576,0.0005115,0.0375,0.0432,0.00781238,0,0,0,1.016,,
24/06/91,348,0,0.46867,0,0.123,0.014220951,1.984374868,0,0,0,1.02,,
27/06/91,351,0,0.175375,0,0.2775,0.003860377,2.877013662,0,0,0,1.937,,
01/07/91,355,0,0.65836,0,0.432,0.036,0.002700589,0,0,0,1.5565,,
04/07/91,358,0,0.344529,0,0.969,0.0144,0.499984681,0,0,0,1.176,,
08/07/91,362,0,0.388461,0,0.1254,0.003890931,0.006866097,0,0,0,0.91,,
11/07/91,365,0.001892001,0.329484,0,1.0091,0.001953065,0.013223884,0,0,0,0.644,,
15/07/91,369,0.015378001,0.409006,0,0.9055,0.000486374,0.017821787,0,0,0,0.899,,
18/07/91,372,0,0.317588,0,0.0011,0.08789061,0.570309217,0,0,0,0.8945,,
22/07/91,376,0,0.271563,0,0.15885,0.123462751,0.49804461,0,0,0,0.89,,
25/07/91,379,0,0.178085,0.002046,0.0128,0.123462751,0.099115351,0,0,0,0.825,,
29/07/91,383,0.012936001,0.320904,0.004092,0.016,0.31776002,0.98823545,0,0,0,0.76,,
01/08/91,386,0.004180001,1.388651,0.008481,0.016,0.996078491,0.99565041,0,0,0,0.7785,,
05/08/91,390,0.029810001,2.041517,0.01287,0.0096,0.363174438,1.975359201,0,0,0,0.797,,
08/08/91,393,0.031306001,4.54894,0.010428,0.0064,0.061765678,1.773427335,0,0,0,0.802,,
12/08/91,397,0.008360001,3.03677,0.010329,0.008,0.098142609,2.184776747,0,0,0,0.807,,
15/08/91,400,0.004730001,3.587826,0.01023,0.00855,0.106443249,3.984313725,0,0,0,1.6015,,
19/08/91,404,0,0.521048,0.006336,0.0048,0.114745028,3.953093052,0,0,0,2.396,,
22/08/91,407,0,0.45156,0.03333,0.0064,0.246925503,0.062254892,0,0,0,1.509,,
26/08/91,411,0,0.840942,0.128964,0.4368,0.494140602,1.530584716,0,0,0,0.622,,
29/08/91,414,0,1.377211,0.914628,0.01275,0.498029321,0.287109375,0,0.001023001,0,0.9035,,
02/09/91,418,0.004840001,2.948647,1.98528,0.0064,0.249014661,0.495254467,0,0,0,1.185,,
05/09/91,421,0.016170001,1.834934,0.53394,0.0032,0.12450733,0.267402559,0,0,0,1.068,,
10/09/91,426,0,0.251796,1.04346,0.001,0.248598501,0.496230997,0,0,0,0.951,,
13/09/91,429,0,0.031249,0.782595,0.00025,0.124745383,0.047360416,0,0,0,0.934,,
17/09/91,433,0,0.023705,0.20559,1.5775,1.324004889,0.011821882,0,0,0,0.7595,,
20/09/91,436,0,0.0194752,0.520168,1.17,3.046650646,0.007881255,0,0.007041601,0,0.585,,
24/09/91,440,0.000912001,0.026038467,4.6024,2.4956,0.12889415,0.045408767,0,0.000446401,0,1.474,,
27/09/91,443,0,0.032601733,30.88492,1.6219,0.999953448,0.082754128,0,0,0,2.076,,
01/10/91,447,0.000210701,0.039165,38.32304,2.2781,0.071287137,0.124507903,0,0,0,2.055,,
04/10/91,450,0.050604001,0.1064218,3.95064,0.0395,0.000484455,0.157625087,0,0,0,1.218,,
08/10/91,454,0.120792001,0.080175,2.243612,1.812333333,0.005426843,0.019703136,0,0.007335001,0,1.508,,
11/10/91,457,0.173612001,0.114823,0.672648,3.585166667,0.003875618,0.019703136,0,0.022005001,0,2.186,,
15/10/91,461,0.648968001,0.123976,0.111276,5.358,0.135269111,0.12401962,0,0.000465001,0,0.969,,
18/10/91,464,1.707424001,0.55137,0.032736,3.3763,0.247264835,0.078812544,0,0,0,1.771,,
22/10/91,468,0.717760001,0.650852,0.008184,2.527,1.975895404,0.039406272,0,0.000651001,0,1.417,,
25/10/91,471,0.683144001,1.754702,0.00968,1.254,3.004455327,0,0,0.000325501,0,0.142,,
30/10/91,476,0.648528001,2.858552,0.011176,0.1615,4.299072266,0,0,0,0,2.762,,
02/11/91,479,0.499036001,4.781305,0.012672,0.0047,0.988268435,0,0,0,0,2.366,,
05/11/91,482,0.081268001,3.788634,0.009405,0.004,0.015502604,0,0,0,0,2.269,,
