HGNC ID	Entrez Gene ID
HGNC:100	41
HGNC:1000	
HGNC:10000	5999
HGNC:10001	8490
HGNC:10002	9628
HGNC:10003	6000
HGNC:10004	8787
HGNC:10006	6005
HGNC:10007	9028
HGNC:10008	6006
HGNC:10009	6007
HGNC:1001	604
HGNC:10010	6008
HGNC:10011	6009
HGNC:10012	6010
HGNC:10013	6011
HGNC:10015	
HGNC:10017	6014
HGNC:10018	6015
HGNC:10019	8737
HGNC:1002	255877
HGNC:10020	8767
HGNC:10021	11035
HGNC:10023	6016
HGNC:10024	6017
HGNC:10025	6018
HGNC:10026	6013
HGNC:10027	6019
HGNC:10030	
HGNC:10031	6023
HGNC:10034	
HGNC:10037	125050
HGNC:10038	6029
HGNC:10039	6030
HGNC:1004	605
HGNC:10040	6031
HGNC:10041	6032
HGNC:10042	6033
HGNC:10043	6034
HGNC:10044	6035
HGNC:10045	6036
HGNC:10046	6037
HGNC:10047	6038
HGNC:10048	6039
HGNC:10049	284203
HGNC:1005	9275
HGNC:10050	6041
HGNC:10055	9921
HGNC:10056	26994
HGNC:10057	11342
HGNC:10058	9604
HGNC:10059	10475
HGNC:1006	9274
HGNC:10060	56163
HGNC:10061	6045
HGNC:10062	56254
HGNC:10063	53840
HGNC:10064	10612
HGNC:10065	56658
HGNC:10066	10336
HGNC:10067	6047
HGNC:10068	6048
HGNC:10069	6049
HGNC:1007	606
HGNC:10070	9616
HGNC:10071	9025
HGNC:10072	10107
HGNC:10073	8732
HGNC:10074	6050
HGNC:10075	8731
HGNC:10078	6051
HGNC:10079	57140
HGNC:1008	607
HGNC:10080	10921
HGNC:10082	
HGNC:10083	6053
HGNC:10084	
HGNC:10085	
HGNC:10086	6056
HGNC:10096	26774
HGNC:10097	26773
HGNC:10098	26772
HGNC:10099	26771
HGNC:101	9311
HGNC:10100	26770
HGNC:10101	26769
HGNC:10103	26767
HGNC:10104	26766
HGNC:10105	26765
HGNC:10106	6043
HGNC:10107	6044
HGNC:10108	26824
HGNC:10109	26823
HGNC:10110	6076
HGNC:10111	6077
HGNC:10112	6078
HGNC:10113	26822
HGNC:10114	6079
HGNC:10115	6080
HGNC:10116	26768
HGNC:10118	8420
HGNC:10119	26821
HGNC:1012	611
HGNC:10120	26871
HGNC:10123	26870
HGNC:10128	6060
HGNC:10130	26869
HGNC:10133	101954273
HGNC:10134	6063
HGNC:10137	26861
HGNC:10138	26860
HGNC:10139	26859
HGNC:1014	613
HGNC:10140	26858
